,string
costa,434
juan,322
Juan,110
pedro,90
francisco,73
domingo,58
bautista,57
maria,57
pablo,47
ana,41
Francisco,36
juan bautista,35
antonio,34
marco,34
miguel,28
marcos,28
Sebastian,27
señor prouisor,24
catalina,23
Pedro,21
Joseph,20
Antonio,19
andres,19
espejo,19
Bautista,18
juan baptista,17
corral,17
martin,17
lorenzo,16
diego,16
Juan Bautista,15
ju,14
María,13
francisco de,13
juan de,12
de obiedo,11
Francisco de,11
joseph,11
Juan de,11
Roque,10
Fernando,9
geronima,9
bartolome,9
rufina,9
Domingo,8
montañes,8
phelipe,8
fernando,8
Pablo,8
carlos,8
Ana,8
gabriel,7
josefe,7
Teresa,7
Rufina,7
felipe,7
luis,7
Jerónimo,7
bermondo Resta,6
benito,6
Felipe,6
niculas,6
martines montañes,6
Diego,5
roque,5
Juan bautista,5
ysabel,5
diego de,5
Miguel,5
teresa,5
hernan rruyz,5
tomas de aquino,5
Isabel,5
Juan de la Palma,4
Vicente,4
Ju,4
bernardo,4
Cristobal,4
dancart,4
Catalina,4
anton,4
theresa,4
joan,4
bermundo Resta,4
cano,4
figueroa,4
ortega,4
Sebastián,4
Juan de la,4
francisco de paula,3
maria madalena,3
Juo,3
Juan baptista,3
xpoual,3
albornos,3
diaz,3
franco,3
Carlos,3
herrera,3
marques de tarifa,3
Maria,3
Francisco de Paula,3
juan digan,3
francisca,3
morillo,3
duque de medinacidonia,3
Bernardo,3
Martin,3
ygnacio,3
catalina de sena,3
Isidro,3
alexos fernandes,3
barreda,2
rubio,2
andrea,2
JUAN,2
Lorenzo,2
juan de dios,2
leonor,2
Vargas,2
Diaz,2
Rodriguez,2
Alonso,2
luisa,2
geronima destrada,2
.-gaspar del aguila,2
fernandez,2
garcia,2
bernardino,2
alfonso,2
basquez,2
hernan ruyz,2
rodrigo,2
Alfonso,2
Diego de,2
Cano,2
hernando,2
Tomás,2
Juan de dios,2
nufro,2
ropa de vestir,2
Margarita,2
Rufina de,2
maria de jesus,2
MURILLO,2
geronima de estrada,2
José,2
miguell,2
espino,2
bermondo rresta,2
juan batista,2
phelipe de Ribas,2
pimentel,2
ines,2
Medina,1
Alonsso de Coca,1
Marcos,1
grauiel del valle,1
beatriz,1
grabiel del balle,1
bernabe de baeza,1
rroque de valduque,1
Pimentel,1
frutos de villacastin,1
juan Batista,1
hernando de porras,1
geronima de çamudio,1
arfian,1
faustina,1
Bernardino,1
grabiel del valle,1
Juan de Dios,1
FRANCISCO,1
francisco cid,1
afenfio de maeda,1
adan,1
jaques bauzel,1
Marques de Paradas,1
hernando de los rrios,1
margarita,1
juan de la palma,1
Gabriel,1
baltasar de riuera,1
alonso,1
vicente,1
lorenço desquivel,1
alberto durero,1
alonfo cano,1
marcos maestre,1
joan bautista,1
Andres,1
geronima delgado,1
pacheco,1
giraldo polman,1
domingo urbin,1
savastian,1
Cristobal ortiz,1
bautista vasques,1
conde de Arenales,1
mariana fagardo,1
domingo de lazaro,1
domingo de urbin,1
Alonso esijano,1
Nicolás,1
hernan ruys,1
JUAN FRANCISCO GARZÓN,1
agustin del castillo,1
ambrosio,1
josephe suero,1
Simón,1
joan de morillos,1
gonçalo çatico de molina,1
Juan Baptista,1
MORILLO,1
Josefe,1
miguel adan,1
nufrio,1
BARTOLOMÉ,1
baltazar quintero,1
Luis,1
matia de la cruz,1
phelipe del castillo,1
Jeronimo de Lara,1
favian de umanes,1
luys de peña,1
gonçalo argote de molina,1
Francisco de Borja,1
xpobal caperucci,1
maldonado,1
matia de la Cruz,1
domingo de san pedro,1
medina,1
xpobal de las casas,1
josepha,1
pedro criste,1
domingo de oxirondo,1
 vasco perea,1
JUAN FRANCISCO,1
Benito,1
artos yordan,1
juo cauello,1
xacinto pimentel,1
Legott,1
Martin Robles,1
legot,1
hernan Ruiz,1
BARTOLOMÉ MURILLO,1
asencio de maeda,1
Mariana,1
sr teniente,1
çamora,1
leonis de ayllon,1
felis de obiedo,1
fernand rruiz,1
phelipe de ribas,1
Francisca,1
beatris,1
marco caña,1
dotor herrera,1
Domingo de lazaro,1
FERNANDO,1
Simon baez enrriquez,1
rubricado)-Francisco de Vargas,1
Fernando Martin,1
josephe de arze,1
juan de la,1
agustin franco,1
pero herrandes,1
alonso despinosa,1
hartolome de la puerta,1
obispo de escalas,1
domingo de guzman,1
Phelipe,1
contreras,1
baltasar baron,1
piñon,1
juo,1
Pacheco,1
Luisa,1
mariana,1
Alfian,1
rufina de,1
jorje,1
Francisco Solano,1
ysidro de aguilar,1
juan bauptista,1
Agustín,1
bartolome pinto,1
guzman,1
Costa,1
rubricado)-francisco del carpio,1
yñigo de ayala,1
carlos atabante,1
clemente de la calcada,1
S. M.,1
placido pacheco,1
Geronima,1
DE ARTEAGA,1
lopez,1
graviel,1
Fernando Martin Robles,1
ana giron,1
baptista vazques,1
maria magdalena,1
isabel,1
vasco perea,1
felis romero,1
geronimo belasques,1
tomasa,1
justa rufina,1
Geronima de çamudio,1
angela,1
Diego de Alcala,1
hernan Ruys,1
